SID,DeviceID,ObservationTimestamp,LocalTimestamp,AirTemperature,BarometricPressure,RelativeHumidity
2024-04-28T11:43:57Z_18zua9muwbb,18zua9muwbb,4/28/2024 11:43:57 AM,2024-04-28 19:43:57,22.03,1023.01,48.04
2024-04-28T11:59:31Z_18zua9muwbb,18zua9muwbb,4/28/2024 11:59:31 AM,2024-04-28 19:59:31,21.85,1022.95,47.81
2024-04-28T12:15:06Z_18zua9muwbb,18zua9muwbb,4/28/2024 12:15:06 PM,2024-04-28 20:15:06,21.67,1023.07,48.18
2024-04-28T12:30:45Z_18zua9muwbb,18zua9muwbb,4/28/2024 12:30:45 PM,2024-04-28 20:30:45,21.53,1023.2,48.84
2024-04-28T12:46:11Z_18zua9muwbb,18zua9muwbb,4/28/2024 12:46:11 PM,2024-04-28 20:46:11,21.28,1023.38,48.69
2024-04-28T13:01:32Z_18zua9muwbb,18zua9muwbb,4/28/2024 1:01:32 PM,2024-04-28 21:01:32,21.2,1023.54,48.62
2024-04-28T13:16:58Z_18zua9muwbb,18zua9muwbb,4/28/2024 1:16:58 PM,2024-04-28 21:16:58,21.04,1023.54,48.52
2024-04-28T13:32:19Z_18zua9muwbb,18zua9muwbb,4/28/2024 1:32:19 PM,2024-04-28 21:32:19,20.89,1023.85,49.27
2024-04-28T13:47:42Z_18zua9muwbb,18zua9muwbb,4/28/2024 1:47:42 PM,2024-04-28 21:47:42,20.78,1024,49.26
2024-04-28T14:03:04Z_18zua9muwbb,18zua9muwbb,4/28/2024 2:03:04 PM,2024-04-28 22:03:04,20.68,1024.03,49.45
2024-04-28T14:18:26Z_18zua9muwbb,18zua9muwbb,4/28/2024 2:18:26 PM,2024-04-28 22:18:26,20.35,1023.99,50.57
2024-04-28T14:33:57Z_18zua9muwbb,18zua9muwbb,4/28/2024 2:33:57 PM,2024-04-28 22:33:57,20.12,1024.01,50.98
2024-04-28T14:49:19Z_18zua9muwbb,18zua9muwbb,4/28/2024 2:49:19 PM,2024-04-28 22:49:19,19.9,1023.93,51.73
2024-04-28T15:04:41Z_18zua9muwbb,18zua9muwbb,4/28/2024 3:04:41 PM,2024-04-28 23:04:41,19.76,1023.85,52.2
2024-04-28T15:20:03Z_18zua9muwbb,18zua9muwbb,4/28/2024 3:20:03 PM,2024-04-28 23:20:03,19.54,1023.75,52.61
2024-04-28T15:35:25Z_18zua9muwbb,18zua9muwbb,4/28/2024 3:35:25 PM,2024-04-28 23:35:25,19.29,1023.79,53.89
2024-04-28T16:06:30Z_18zua9muwbb,18zua9muwbb,4/28/2024 4:06:30 PM,2024-04-29 00:06:30,18.92,1024.06,53.24
2024-04-28T16:22:16Z_18zua9muwbb,18zua9muwbb,4/28/2024 4:22:16 PM,2024-04-29 00:22:16,18.69,1024.26,53.16
2024-04-28T16:37:48Z_18zua9muwbb,18zua9muwbb,4/28/2024 4:37:48 PM,2024-04-29 00:37:48,18.31,1024.39,52.68
2024-04-28T16:53:11Z_18zua9muwbb,18zua9muwbb,4/28/2024 4:53:11 PM,2024-04-29 00:53:11,18.11,1024.65,53.24
2024-04-28T17:08:43Z_18zua9muwbb,18zua9muwbb,4/28/2024 5:08:43 PM,2024-04-29 01:08:43,17.96,1024.68,53.33
2024-04-28T17:24:34Z_18zua9muwbb,18zua9muwbb,4/28/2024 5:24:34 PM,2024-04-29 01:24:34,17.73,1024.69,53.09
2024-04-28T17:40:08Z_18zua9muwbb,18zua9muwbb,4/28/2024 5:40:08 PM,2024-04-29 01:40:08,17.47,1024.75,52.82
2024-04-28T17:55:46Z_18zua9muwbb,18zua9muwbb,4/28/2024 5:55:46 PM,2024-04-29 01:55:46,17.26,1024.8,52.37
2024-04-28T18:11:37Z_18zua9muwbb,18zua9muwbb,4/28/2024 6:11:37 PM,2024-04-29 02:11:37,17.09,1024.86,52.21
2024-04-28T18:27:00Z_18zua9muwbb,18zua9muwbb,4/28/2024 6:27:00 PM,2024-04-29 02:27:00,16.93,1024.93,52.08
2024-04-28T18:42:21Z_18zua9muwbb,18zua9muwbb,4/28/2024 6:42:21 PM,2024-04-29 02:42:21,16.95,1025.14,52.21
2024-04-28T18:57:44Z_18zua9muwbb,18zua9muwbb,4/28/2024 6:57:44 PM,2024-04-29 02:57:44,16.7,1024.94,52.21
2024-04-28T19:13:06Z_18zua9muwbb,18zua9muwbb,4/28/2024 7:13:06 PM,2024-04-29 03:13:06,16.53,1024.95,52.64
2024-04-28T19:28:27Z_18zua9muwbb,18zua9muwbb,4/28/2024 7:28:27 PM,2024-04-29 03:28:27,16.4,1024.8,52.48
2024-04-28T19:43:50Z_18zua9muwbb,18zua9muwbb,4/28/2024 7:43:50 PM,2024-04-29 03:43:50,16.23,1024.95,52.7
2024-04-28T20:30:43Z_18zua9muwbb,18zua9muwbb,4/28/2024 8:30:43 PM,2024-04-29 04:30:43,15.77,1025.14,53.8
2024-04-28T20:46:16Z_18zua9muwbb,18zua9muwbb,4/28/2024 8:46:16 PM,2024-04-29 04:46:16,15.68,1025.13,54.37
2024-04-28T21:02:01Z_18zua9muwbb,18zua9muwbb,4/28/2024 9:02:01 PM,2024-04-29 05:02:01,15.55,1025.2,55.29
2024-04-28T21:17:33Z_18zua9muwbb,18zua9muwbb,4/28/2024 9:17:33 PM,2024-04-29 05:17:33,15.5,1025.37,56.16
2024-04-28T21:32:55Z_18zua9muwbb,18zua9muwbb,4/28/2024 9:32:55 PM,2024-04-29 05:32:55,15.56,1025.35,56.2
2024-04-28T21:48:18Z_18zua9muwbb,18zua9muwbb,4/28/2024 9:48:18 PM,2024-04-29 05:48:18,15.6,1025.35,56.69
2024-04-28T22:03:49Z_18zua9muwbb,18zua9muwbb,4/28/2024 10:03:49 PM,2024-04-29 06:03:49,15.55,1025.47,57.29
2024-04-28T22:19:12Z_18zua9muwbb,18zua9muwbb,4/28/2024 10:19:12 PM,2024-04-29 06:19:12,15.4,1025.62,58.34
2024-04-28T22:34:52Z_18zua9muwbb,18zua9muwbb,4/28/2024 10:34:52 PM,2024-04-29 06:34:52,15.43,1025.6,58.81
2024-04-28T22:50:24Z_18zua9muwbb,18zua9muwbb,4/28/2024 10:50:24 PM,2024-04-29 06:50:24,15.39,1025.77,58.72
2024-04-28T23:06:02Z_18zua9muwbb,18zua9muwbb,4/28/2024 11:06:02 PM,2024-04-29 07:06:02,15.32,1025.9,60.2
2024-04-28T23:21:46Z_18zua9muwbb,18zua9muwbb,4/28/2024 11:21:46 PM,2024-04-29 07:21:46,15.31,1025.95,60.94
2024-04-28T23:37:08Z_18zua9muwbb,18zua9muwbb,4/28/2024 11:37:08 PM,2024-04-29 07:37:08,15.34,1026.13,61.35
2024-04-28T23:52:30Z_18zua9muwbb,18zua9muwbb,4/28/2024 11:52:30 PM,2024-04-29 07:52:30,15.46,1026.11,62.06
2024-04-29T00:08:21Z_18zua9muwbb,18zua9muwbb,4/29/2024 12:08:21 AM,2024-04-29 08:08:21,15.77,1025.83,61.55
2024-04-29T00:23:45Z_18zua9muwbb,18zua9muwbb,4/29/2024 12:23:45 AM,2024-04-29 08:23:45,16.32,1026.29,60.31
2024-04-29T00:39:20Z_18zua9muwbb,18zua9muwbb,4/29/2024 12:39:20 AM,2024-04-29 08:39:20,16.93,1026.06,58.62
2024-04-29T00:54:55Z_18zua9muwbb,18zua9muwbb,4/29/2024 12:54:55 AM,2024-04-29 08:54:55,17.36,1025.98,58.03
2024-04-29T01:41:36Z_18zua9muwbb,18zua9muwbb,4/29/2024 1:41:36 AM,2024-04-29 09:41:36,18.71,1025.5,55.55
2024-04-29T01:56:58Z_18zua9muwbb,18zua9muwbb,4/29/2024 1:56:58 AM,2024-04-29 09:56:58,19.2,1025.49,54.09
2024-04-29T02:44:25Z_18zua9muwbb,18zua9muwbb,4/29/2024 2:44:25 AM,2024-04-29 10:44:25,20.43,1024.96,51.25
2024-04-29T02:59:48Z_18zua9muwbb,18zua9muwbb,4/29/2024 2:59:48 AM,2024-04-29 10:59:48,20.94,1024.71,50.06
2024-04-29T04:33:53Z_18zua9muwbb,18zua9muwbb,4/29/2024 4:33:53 AM,2024-04-29 12:33:53,23.27,1022.88,43.41
